File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
151,0.1200,0.0600,-0.1400,-0.0088,-0.0152,0.9960,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
152,-0.0600,0.1600,-0.2400,-0.0088,-0.0128,0.9936,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
153,-0.1200,0.2800,-0.2200,-0.0088,-0.0120,0.9936,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
154,-0.2000,0.2600,-0.0400,-0.0088,-0.0160,0.9968,-29.1000,-253.9000,-204.8000,-0.8075,0.3955,154.9368
155,0.0400,-0.0600,-0.1200,-0.0064,-0.0152,0.9976,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
156,0.0200,0.0200,-0.1600,-0.0072,-0.0152,0.9944,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
157,-0.1000,0.1400,-0.1200,-0.0056,-0.0144,0.9944,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
158,0.1400,0.1200,-0.2800,-0.0072,-0.0136,0.9928,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
159,0.0800,0.0800,-0.1600,-0.0072,-0.0112,0.9936,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
160,0.0600,0.1600,-0.1800,-0.0072,-0.0144,0.9952,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
161,0.0400,0.2000,-0.1600,-0.0080,-0.0136,0.9952,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
162,-0.1400,0.0200,-0.1400,-0.0072,-0.0144,0.9960,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
163,-0.0600,0.0000,-0.1600,-0.0048,-0.0136,0.9920,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
164,-0.0800,-0.2400,-0.0800,-0.0056,-0.0136,0.9896,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
165,0.0800,0.1200,-0.2600,-0.0080,-0.0144,0.9904,-29.0000,-254.9000,-204.7000,-0.8075,0.3955,154.9368
166,0.2000,0.0400,-0.3600,-0.0080,-0.0144,0.9920,-29.2000,-254.2000,-204.6000,-0.8075,0.3955,154.9368
167,0.1200,0.0200,-0.3400,-0.0064,-0.0152,0.9936,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9368
168,-0.0200,0.2000,-0.1600,-0.0064,-0.0160,0.9920,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
169,0.0800,0.0800,-0.1400,-0.0072,-0.0128,0.9912,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
170,-0.0200,0.1200,-0.2200,-0.0064,-0.0136,0.9928,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
171,0.0200,0.1400,-0.1400,-0.0072,-0.0136,0.9928,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
172,0.0200,0.0600,0.0000,-0.0096,-0.0136,0.9944,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
173,0.1200,0.0200,-0.0800,-0.0080,-0.0168,0.9960,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
174,0.2400,0.1200,-0.2600,-0.0056,-0.0160,0.9968,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
175,0.1400,-0.0400,-0.4000,-0.0080,-0.0152,0.9952,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
176,0.2200,0.0000,-0.3400,-0.0064,-0.0144,0.9952,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
177,0.2200,-0.1400,-0.1800,-0.0064,-0.0144,0.9960,-29.3000,-253.5000,-204.5000,-0.8075,0.3955,154.9313
178,0.0600,-0.1000,-0.0600,-0.0064,-0.0144,0.9976,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
179,0.0400,-0.2200,-0.1400,-0.0072,-0.0160,0.9960,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
180,-0.1000,-0.0800,0.0200,-0.0080,-0.0144,0.9944,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
181,-0.2400,0.2200,-0.1400,-0.0064,-0.0128,0.9952,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
182,-0.0600,0.4400,-0.1400,-0.0056,-0.0128,0.9944,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
183,0.0400,0.1000,-0.0200,-0.0056,-0.0144,0.9944,-29.5000,-253.5000,-203.8000,-0.8075,0.3955,154.9313
